,Mean-accX,Range-accX,Var-accX,Median-accX,Mean-accY,Range-accY,Var-accY,Median-accY,Mean-accZ,Range-accZ,Var-accZ,Median-accZ,Mean-gyroX,Range-gyroX,Var-gyroX,Median-gyroX,Mean-gyroY,Range-gyroY,Var-gyroY,Median-gyroY,Mean-gyroZ,Range-gyroZ,Var-gyroZ,Median-gyroZ,label
0,-4961.47,14252,20948928,-9875,491.19,10795,12642616,2996,-11789.3,14439,22787712,-10070,-1721.32,28855,101460984,-20180,-2120.75,16728,29927160,274,4838.08,17556,29975906,3581,1
0,5926.37,16485,16586322.6,6277,-10399.48,20038,27882018.33,-10447,-5567.45,28618,61640653.08,-6276.5,-1741.07,42870,83436530.41,-636.5,-1688.55,51982,145354717.1,-1259.5,4453.64,27787,39652796.37,3074,2
0,4971.2,10609,8313600.869,4934,-11573.71,15832,26571146.73,-13816,-7875.39,16748,27198462.79,-7355,-2964.65,35537,97513889.48,-755.5,-1432.35,49916,170507166.7,-3074,3097.87,24654,44904073.81,2114.5,2
0,4455.96,9851,9709574.544,4764,-9535,17661,39962901.39,-11390,-10092.08,14968,22434260.09,-12235,-2686.21,39545,133251967.1,-577,-625.26,47700,160228528.1,-965,2625.02,26550,49425464.57,1478,2
0,3599.58,14147,12849530.79,3539,-8904.99,19748,52019256.05,-11882,-8701.97,18144,35855401.28,-11368,-2285.34,43172,105843338.8,-503.5,1285.61,49067,132602730.8,-1340.5,4084.89,29791,44719512.08,1974.5,2
0,3849.84,12091,10942684.1,4154.5,-10595.7,18535,39143891.51,-12956.5,-8627.84,14887,22925662.78,-10207.5,-2583.18,40115,133528435.7,-930.5,-637.2,48402,160298925,-1264.5,3933.91,28654,50102275.17,2668.5,2
0,3941.36,9984,8543698.233,4014,-10127.31,17995,42826131.29,-13248.5,-7946.67,15366,29538827.15,-9929.5,-2206.09,43506,134389013.1,-465,534.08,50976,168841840.6,-503.5,3436.23,28257,40421551.59,2220.5,2
0,3707.89,12860,10044251.88,3960,-11249.24,17035,33215957.34,-14540,-7956.12,16648,30926014.39,-9069.5,-2147.2,41543,104145414.3,-545,72.1,50203,158796402.4,-148,4220.47,25350,35450415.95,2859.5,2
0,9442.97,14660,17026829.99,9405,-8662.24,17364,26506429.52,-7604,-6074.68,24820,48801671.31,-7354.5,-776.03,37250,83166857.24,-550,-1961.72,47575,148565171.7,-439,5874.53,31182,47708567.54,4912.5,2
0,9860.56,10188,6048750.956,9765,-11316.87,15662,24296589.33,-13693.5,-3887.45,18810,39271575.2,-3768,-1752.07,35319,81237013.74,590.5,-918.91,49490,155124811.4,579.5,2433.38,31968,64475289.91,2333,2
0,11143.97,8389,4440004.373,11429,-10141.3,15158,16930950.09,-10383.5,-7691.19,17781,22034174.74,-9837,-1004.23,40156,98673390.36,398.5,-2528.54,52484,161930514.4,-2689.5,1584.63,31762,72733800.66,2004,2
0,7152.31,13939,13789166.6,8047.5,-9943.18,18042,35423025.24,-12453,-8571.86,15212,23709279.29,-10395,-2957.15,36410,108550611.5,-361.5,-1049.27,45671,190954952.8,-1044,3000.98,20599,29976476.55,1095,2
0,7120.8,11243,9444829.616,7675.5,-9781.5,17867,35414786.9,-12076.5,-8511.23,15571,21730204.89,-9888.5,-1403.19,40916,104150176.7,1085,1471.61,39306,113334086.1,784.5,2597.57,26401,43107323.04,2045,2
0,8242.77,11152,9696086.563,7926,-9823.09,16460,25009467.7,-11053,-7758.46,19990,39825453.81,-10539,-1923.48,37115,83875043.48,-764,824.13,45380,143841546,-418.5,2217.25,24846,40054907.38,1667.5,2
0,9059.49,12987,10688634.62,8895.5,-10099.08,15518,23535812.62,-12294.5,-7239.16,18842,30551135.95,-7903,-1433.24,33512,68215337.64,-16,-70.61,47539,128642080.3,1088.5,2602.04,25611,49838385.41,655,2
0,7698.07,10727,9703768.914,6864,-9338.83,18934,29057210.38,-8994.5,-7926.18,29463,54910929.14,-9958,-2039.71,37654,84000353.2,-425.5,-1777.63,45748,124310906.9,-1745.5,5076.81,29002,49390594.18,2574,2
0,5665.44,8281,4639816.855,4986,-11615.52,16354,30019687.93,-15105.5,-8282.88,14724,23857157.7,-9140,-2581.17,35313,89884403.05,-486.5,-619.75,41684,97500264.43,-1247.5,3674.2,30870,45529933.64,1648.5,2
0,5314.09,8802,5434507.275,5571.5,-12338.74,15963,26399329.57,-15649,-8156.19,15304,22649155.57,-8078.5,-1993.87,35779,88966444.38,-685,-1021.62,44844,107619685.3,-2540.5,4917.19,29712,52993256.14,2330.5,2
0,5967.67,10520,8343380.365,5817,-10874.11,15930,26147936.3,-12880.5,-8378.05,14886,23583129.68,-9222.5,-2096.21,34588,82412732.25,-520,-767.26,46011,125534924.5,-1715,2182.44,30037,47244235.46,261.5,2
0,4761.69,10188,5977525.59,4628.5,-12478.38,18465,29928999.65,-15895,-8405.15,18239,26548724.13,-9091,-2059.65,39142,95476391.89,-439,-581.06,45021,98643877.53,-2253.5,4879.85,28924,49495503.2,2053.5,2
