accX,accY,accZ,gyroX,gyroY,gyroZ
9006,-9681,-11118,-16627,-14387,1868
9236,-9964,-11771,-15167,-15896,3351
9276,-10409,-12914,-13829,-16906,4560
9328,-10977,-14124,-13131,-17300,5625
9172,-11450,-15592,-13086,-16917,6638
11532,-12152,-10756,-14892,-15848,8086
11962,-13936,-9608,-14998,-13415,8196
10858,-13810,-11007,-12084,-12585,6495
9946,-13073,-11719,-10814,-13422,6417
10913,-12048,-11084,-10890,-14027,8243
11169,-10942,-11310,-9865,-12608,8963
10669,-9815,-11970,-8280,-10848,7892
10075,-9238,-12365,-7586,-9633,6765
9728,-8718,-12652,-7041,-8841,5960
9520,-8045,-12947,-6362,-8252,5244
9357,-7486,-13077,-5891,-7528,4642
9113,-7044,-13141,-5481,-6642,4034
8878,-6637,-13199,-5033,-5723,3425
8692,-6360,-13239,-4623,-4822,2827
8528,-6141,-13305,-4188,-3939,2222
8459,-5996,-13313,-3812,-3098,1662
8579,-5931,-13244,-3502,-2251,1188
8872,-5906,-13229,-3150,-1209,776
9134,-5924,-13225,-2721,215,177
9384,-5976,-13092,-2257,1997,-836
9519,-6091,-13065,-1652,4151,-2180
9425,-6196,-13117,-816,6531,-3609
9229,-6247,-13067,110,8763,-4866
9114,-6298,-12837,999,10501,-5803
9128,-6379,-12560,1984,11553,-6442
9184,-6456,-12398,3242,11817,-6966
9263,-6528,-12215,4568,11383,-7402
9473,-6646,-11861,5811,10639,-7685
9927,-6848,-11602,7116,10072,-7826
10485,-7048,-11549,8551,10082,-7894
10756,-7268,-11604,9924,10908,-7990
10766,-7526,-11741,11192,12152,-7939
10800,-7726,-11935,12453,13098,-7438
11088,-7797,-11995,13626,13314,-6505
11509,-7755,-11908,14719,12865,-5571
11838,-7642,-11729,15735,12249,-4826
11899,-7507,-11612,16697,11898,-4174
11739,-7415,-11614,17530,11828,-3418
11549,-7440,-11662,18136,11830,-2361
11491,-7535,-11703,18549,11715,-1004
11634,-7604,-11709,18854,11505,436
11894,-7666,-11626,18951,11409,1872
12153,-7764,-11402,18778,11667,3249
12282,-7889,-11129,18393,12427,4543
12238,-8122,-10846,17706,13497,5820
11991,-8530,-10580,16702,13949,7132
11719,-8997,-10177,15585,13085,8554
11842,-9564,-9502,14379,11046,10118
12138,-10396,-8687,13179,8695,11702
12465,-11077,-7970,12289,6650,12979
12684,-11627,-7313,11504,5210,13748
12740,-12060,-6708,10671,4434,14189
12692,-12471,-6097,9702,4024,14367
12656,-12929,-5378,8632,3445,14429
12528,-13243,-4872,7887,2448,14321
12255,-13549,-4519,7307,1045,14081
11996,-13867,-4241,6799,-607,13940
11806,-14065,-4056,6480,-2583,13863
11832,-14123,-3792,6170,-4880,13886
12147,-14126,-3431,5749,-7002,13918
12630,-14068,-3044,5234,-8663,13738
13106,-14048,-2574,4599,-9635,13231
13436,-14086,-2118,3909,-9635,12365
13482,-14155,-1691,3217,-8740,11194
13238,-14244,-1290,2592,-7239,9815
12854,-14327,-863,2066,-5511,8404
12439,-14425,-456,1692,-3683,7024
11934,-14544,-223,1512,-1710,5695
11349,-14655,-109,1418,-41,4429
