Mean-accX,Range-accX,Var-accX,Median-accX,Mean-accY,Range-accY,Var-accY,Median-accY,Mean-accZ,Range-accZ,Var-accZ,Median-accZ,Mean-gyroX,Range-gyroX,Var-gyroX,Median-gyroX,Mean-gyroY,Range-gyroY,Var-gyroY,Median-gyroY,Mean-gyroZ,Range-gyroZ,Var-gyroZ,Median-gyroZ,label
8557.513514,6509,3470651.146,9320,-10931.2973,9538,11366130.94,-11201,-5301.108108,6992,5125617.155,-6134,-5976,16027,24967659.89,-4206,434.9459459,3893,1893167.553,266,2554.378378,18318,33956104.19,3994,2
8506,6273,3699031.278,9307,-11096.78378,9622,11763377.45,-11604,-4868.324324,6225,4183737.503,-5788,-6363.243243,16953,27040378.13,-4554,390.5405405,4975,2221772.811,611,2150.945946,21670,44806072.22,4148,2
8390.216216,6102,2945836.063,9027,-10579.24324,9589,11150854.13,-10839,-5989.945946,6158,3915151.608,-6882,-5781.189189,19246,36315952.66,-3554,308.5945946,4057,1350368.97,-99,2343.324324,18156,32672971.45,4398,2
9238.621622,5031,2198461.575,9859,-9728.810811,8809,8792704.38,-9681,-6658.486486,4196,1277427.812,-7200,-4904.864865,18016,36935724.29,-2620,-1276.189189,5668,4193201.713,-295,930.6216216,15091,24116814.8,3281,2
9160.648649,5423,2554655.012,9632,-9663.486486,9763,10949108.37,-9819,-6701.054054,5928,3234953.441,-7620,-6310.945946,19115,40727040.33,-2838,469.2432432,5486,2115817.856,788,1915.243243,16694,32068418.3,4586,2
7963.27027,6236,3399544.258,8598,-11701.37838,9148,10600112.69,-12403,-5264.324324,6922,4537201.947,-5878,-6067.891892,19185,35224037.1,-4406,202.6216216,3532,1180642.464,127,2154.972973,20001,36209554.69,4001,2
8443.891892,5738,3069664.432,8974,-11133.32432,8424,8793805.892,-11247,-5514.054054,6742,4483259.997,-6220,-6201.810811,18911,34550134.66,-3961,680.3513514,3043,832299.3453,582,1511.918919,18034,32548617.8,3879,2
7377.351351,6042,3623029.568,7940,-12029.27027,8182,8172058.814,-12516,-5443.702703,6585,4550118.881,-6166,-5407.594595,20702,39295747.8,-3244,-117.5945946,4718,2062989.914,-691,1967.243243,16525,25184033.13,3940,2
6928.567568,5551,3304141.752,7592,-12187,8433,8954926.389,-12761,-5661.648649,7433,6515551.401,-6932,-5338.459459,22132,43861979.48,-3816,673.7567568,4229,1086574.467,830,2304.972973,16094,24361735.8,3625,2
7805.486486,5339,2617103.535,8345,-11471.10811,9279,10716138.54,-12088,-5674.297297,7874,7117280.77,-6785,-6027.783784,19383,36046638.4,-4347,1236.702703,4648,1554633.437,1130,2088.459459,19496,36022737.92,3177,2
7474.648649,5122,2342254.734,7959,-11803.40541,8782,9571871.359,-12327,-5498.486486,7032,6268935.812,-6854,-5831.297297,20230,35889723.49,-4695,1248.216216,2887,681046.0631,1664,1968.675676,16752,25240598.61,2581,2
7975.891892,6229,3438984.655,8433,-11776.37838,8866,9625738.853,-12291,-4628.108108,6917,5749228.377,-5559,-6669.702703,15910,24877225.44,-4538,747.3513514,6038,3999199.956,-28,2662.513514,19845,37518604.98,4067,2
8610.756757,5556,2408863.523,9077,-10532.21622,9473,10985303.62,-10722,-5950.972973,6730,4338480.749,-6508,-6512.081081,18988,36508069.08,-4043,7.945945946,5333,2184721.886,-502,1405.837838,20338,40897290.03,3588,2
8450.567568,7265,4888215.641,9302,-11265.62162,9642,11783723.46,-11628,-4333.108108,6734,5252404.377,-5090,-6844.648649,16504,25309342.12,-5080,1221.702703,5867,3574804.159,854,3336.918919,21675,44504984.13,4926,2
8564.513514,4773,2139084.312,9049,-10981.24324,8861,9613785.356,-11164,-5663.756757,6635,4558983.523,-6419,-6121.594595,19550,39020528.03,-3888,425.8648649,3345,1122642.898,351,1474.054054,19564,36101992.44,3291,2
7899.054054,5580,1799760.441,7620,-8021.054054,13945,23817948.89,-7992,-6322.243243,10016,14939332.24,-8128,-9308.135135,18638,21641881.01,-8411,1136.837838,26656,61095054.92,-1863,3655.432432,23069,49261154.97,3677,2
7838.378378,3748,1760987.853,7106,-7127.432432,13800,25323990.14,-7188,-7301.513514,9768,11598565.81,-8497,-8410.027027,19056,27736926.53,-6413,1167.972973,19442,35480655.42,291,3444.810811,23675,59497885.88,4791,2
8704.72973,6766,4919673.592,9080,-3968.351351,22131,52056575.29,-4360,1669.72973,4507,3076999.592,1314,-9417.837838,7369,3369025.195,-8984,2031.945946,14485,21414358.55,1699,1369.216216,40879,232279179.5,5490,3
8362,8288,7365135.278,8148,756.5945946,27067,62055211.14,1964,1493.675676,1362,141416.7808,1546,-7238.486486,5360,3473840.757,-6870,719.1351351,12069,20876583.06,2143,-2782.27027,40844,217502075.2,-6828,3
8697.189189,7928,6999036.824,9505,-1365.594595,24208,56398225.58,-1286,1653.891892,4263,2394746.044,1056,-9304.594595,6246,2806304.414,-9340,2528.324324,10151,12379920.45,975,-1196.864865,39599,233353982.8,-4208,3
8052.648649,7693,6038982.234,8023,2247.810811,26321,58642607.6,3813,2814.864865,3924,1116634.565,2600,-7964.378378,9391,12125658.96,-6359,1464.405405,10802,11959055.75,1733,-3643.243243,40458,186463327.2,-6182,3
9257.027027,7608,6912245.249,9167,990.2972973,25302,57318884.49,2198,1824.162162,2386,514022.1952,1569,-7010.459459,5563,3216199.811,-6848,1202.243243,8569,10114015.86,2188,-2646.432432,39771,209960506.1,-6208,3
8582,10044,10364044.17,8888,543.5135135,24604,58908189.92,954,1873.621622,3847,1162882.52,1681,-8105.756757,7200,6273369.3,-8163,1789.837838,12636,17564716.97,2271,-2971.621622,39184,211914573.4,-6708,3
8432.486486,7573,6295931.201,8543,1014.945946,24990,58777706.83,2291,1511.27027,4550,2448925.092,796,-9139.297297,8027,5355501.048,-8952,2227.810811,13750,18692141.32,1949,-2215.648649,41049,216931311,-5570,3
8104.810811,6198,5722641.824,6710,-1238.081081,29473,66566835.8,-123,1751,5724,3271823.778,1390,-8293.378378,4572,2469310.742,-8118,2203.621622,18370,40095709.41,-287,904.0540541,39331,174400391.8,-2401,3
9497.540541,7277,5218410.144,9960,-434.2972973,23122,52498269.6,394,2218.486486,2639,731762.9234,1936,-7471,6238,2746038.111,-7779,1423.405405,9300,11159340.03,766,-1504.027027,39908,228996648.2,-5230,3
7548.081081,9572,9889550.521,8151,710.972973,25130,56621673.36,1534,1343.378378,2958,730713.0195,1084,-8120.351351,6263,2994876.29,-7952,1495.27027,11429,17271062.04,1552,-1308.27027,41210,244404194.6,-6003,3
