Mean-accX,Range-accX,Var-accX,Median-accX,Masd-accX,Mean-accY,Range-accY,Var-accY,Median-accY,Masd-accY,Mean-accZ,Range-accZ,Var-accZ,Median-accZ,Masd-accZ,Mean-gyroX,Range-gyroX,Var-gyroX,Median-gyroX,Masd-gyroX,Mean-gyroY,Range-gyroY,Var-gyroY,Median-gyroY,Masd-gyroY,Mean-gyroZ,Range-gyroZ,Var-gyroZ,Median-gyroZ,Masd-gyroZ,label
7507.243243243243,9200,7344462.578078078,6442,927,-3454.054054054054,17720,31240645.996997,-490,669,6532.405405405405,10178,11334222.85885886,7644,749,-4940.72972972973,34773,159260397.0915916,-10116,1041,-8594.432432432432,9825,8449716.807807807,-7779,1742,-1889.7297297297298,29156,99763845.03603603,1982,1408,1
7633.108108108108,9075,9557637.21021021,6069,724,-1296.5405405405406,17125,19272670.033033036,440,544,5954.081081081081,14457,29582312.40990991,7717,486,-5555.783783783784,22010,64472662.063063055,-9762,1545,-6682.4324324324325,8480,8323647.585585586,-6692,847,-5114.351351351352,28843,85014258.62312312,1076,1302,1
8978,9749,10372622.611111112,7017,832,-3854.4864864864867,15506,24005242.534534536,-1578,779,5442.2972972972975,10162,12231762.436936937,7325,672,-7127.054054054054,21227,60984375.6081081,-11436,1091,-10561.945945945947,9088,6028249.941441442,-10132,1617,-915.6216216216217,36404,148283009.5750751,3528,1166,1
7462.135135135135,8399,7220801.12012012,6411,1005,-3110.2162162162163,19749,30771981.396396395,-1167,993,5524.972972972973,9855,14571622.915915916,6347,836,-5485.405405405405,26587,98558872.85885885,-10553,1421,-8657.054054054053,10516,7823341.441441441,-8214,1299,-4060.5135135135133,31645,104918326.75675675,1596,1407,1
8433.108108108108,7499,6123205.710210211,7392,605,-2954.945945945946,18991,27598261.996996995,-1504,1058,4684.027027027027,9338,12507522.86036036,4142,433,-6899.4324324324325,23193,74868716.41891892,-13298,1788,-9849.918918918918,9085,6102406.354354355,-10004,1281,-5334.648648648648,32890,116457327.4009009,600,1982,1
8302.054054054053,10140,11198255.719219219,6684,909,-1800.7837837837837,17064,24244738.174174175,171,669,5908.4324324324325,11573,16876894.53003003,7398,795,-6574.2972972972975,28006,91277131.49249248,-11889,1485,-7514,8983,6252915,-6721,4754,-4327.891891891892,32845,121635011.2102102,1368,952,1
7554.864864864865,10515,13152007.397897897,6827,579,-1326.945945945946,19809,32671451.608108107,-30,530,5638.081081081081,7750,7602780.243243244,5862,585,-6225.891891891892,24531,84392732.54354355,-12465,1005,-9902.72972972973,8657,7116005.869369369,-10137,1390,-4543.72972972973,32495,102949039.42492492,-1404,864,1
7696.891891891892,10814,13886739.765765766,5500,517,-576.972972972973,17626,24643797.193693694,859,491,4803.189189189189,12067,19963026.713213213,4395,552,-8598.027027027027,23852,61047239.915915914,-12899,1026,-7577.648648648648,8213,4867711.789789789,-7514,942,-6979.621621621622,31412,120631323.85285285,-2630,866,1
6919.594594594595,9935,11482703.525525525,5735,628,-125.43243243243244,20405,27467278.97447448,1563,693,6580.756756756757,12428,20332364.411411412,5476,370,-4214.135135135135,26578,97822888.34234235,-10271,887,-7856.459459459459,10209,8587467.81081081,-8010,1101,-6964.1621621621625,25293,74689393.19519518,-3553,887,1
7909,5757,2859793.277777778,8307,449,-10273.513513513513,10208,12342356.478978978,-10302,260,-6262.27027027027,7190,5263015.980480481,-7350,271,-6107,19962,44184284.61111111,-3595,446,687.2702702702703,6101,2256860.2582582585,35,1425,1817.5135135135135,17251,33877112.09009009,4112,520,2
8266.864864864865,5907,3143221.2867867867,8899,201,-10106.972972972973,11211,15402931.082582582,-10839,649,-5387.486486486487,6981,5208356.645645645,-6392,241,-6584.243243243243,21038,42445333.91141141,-4232,417,594.1351351351351,3344,1205502.0645645645,373,687,2204.972972972973,21066,43161112.582582586,3884,582,2
