accX,accY,accZ,gyroX,gyroY,gyroZ
4949,5482,8537,-13620,1604,17075
5202,5320,9061,-12653,1553,15807
5734,5232,9646,-11641,725,14395
6454,5172,10265,-10657,-280,12952
7165,5199,10838,-9734,-963,11543
7753,5227,11364,-8920,-1169,10190
8135,5226,11825,-8199,-983,8900
8343,5255,12218,-7512,-638,7677
8461,5226,12550,-6849,-344,6523
8552,5178,12827,-6172,-185,5430
8635,5150,13053,-5479,-137,4392
8729,5174,13267,-4786,-129,3410
8824,5188,13502,-4125,-70,2488
8865,5150,13725,-3478,79,1624
8831,5072,13868,-2790,241,794
8753,5040,13883,-2048,287,-36
8748,5078,13873,-1317,162,-887
8856,5058,13931,-651,15,-1744
8975,4971,14005,9,56,-2592
8993,4927,13999,731,293,-3461
8906,4986,13886,1500,563,-4378
8802,5065,13748,2255,724,-5320
8712,5171,13598,2995,829,-6229
8581,5443,13390,3724,1009,-7088
8359,5829,13159,4376,1320,-7902
8007,6157,12913,4913,1748,-8652
7533,6365,12595,5378,2192,-9310
6983,6567,12195,5846,2493,-9857
6416,6916,11745,6323,2580,-10287
5905,7312,11283,6731,2512,-10625
5440,7634,10858,7025,2379,-10877
4939,7989,10417,7271,2317,-11030
4390,8451,9946,7498,2354,-11067
3831,8926,9490,7661,2414,-11011
3281,9361,9069,7750,2441,-10862
2767,9727,8708,7766,2434,-10593
2288,10089,8360,7733,2457,-10194
1807,10542,7978,7691,2529,-9697
1317,11026,7571,7588,2595,-9150
874,11384,7227,7397,2540,-8568
506,11609,6910,7173,2318,-7926
220,11803,6528,6969,1938,-7209
8,12168,6032,6810,1462,-6429
-167,12707,5544,6638,1014,-5635
-378,13186,5213,6375,733,-4880
-656,13554,5012,6072,708,-4146
-990,13936,4839,5808,943,-3403
-1377,14415,4590,5583,1361,-2685
-1804,14929,4298,5335,1750,-2077
-2208,15380,4061,5002,1913,-1600
-2518,15730,3905,4605,1831,-1199
-2718,16019,3819,4194,1602,-826
-2854,16295,3771,3793,1337,-502
-2986,16556,3740,3387,1106,-278
-3110,16776,3726,2966,934,-155
-3206,16959,3718,2541,852,-97
-3274,17091,3715,2124,881,-77
-3333,17161,3681,1728,995,-98
-3397,17203,3602,1377,1098,-160
-3449,17206,3512,1062,1109,-258
-3470,17159,3454,778,1024,-350
-3472,17095,3406,539,897,-421
-3464,17057,3336,356,748,-490
-3455,17043,3265,212,546,-577
-3435,17030,3239,93,298,-679
-3414,17021,3235,19,71,-778
-3401,17018,3218,-4,-94,-871
-3401,17025,3178,6,-220,-952
-3424,17047,3127,38,-331,-1015
-3472,17069,3063,82,-449,-1060
-3525,17070,3002,126,-602,-1072
-3566,17048,2944,164,-790,-1029
-3602,17024,2876,193,-978,-922
-3641,17011,2782,202,-1145,-753
-3672,16997,2665,171,-1320,-528
-3665,16999,2548,85,-1539,-246
-3649,17034,2446,-69,-1745,107
-3684,17087,2349,-291,-1838,524
-3740,17091,2250,-597,-1899,993
-3751,17044,2206,-981,-2097,1507
-3678,16964,2224,-1411,-2437,2088
-3545,16842,2305,-1896,-2764,2765
-3409,16713,2388,-2445,-2903,3560
-3285,16604,2449,-3096,-2780,4490
-3171,16458,2487,-3901,-2432,5555
-3010,16251,2540,-4905,-1925,6788
-2717,15913,2722,-6186,-1296,8202
-2155,15284,3131,-7784,-627,9742
-1313,14438,3802,-9483,-121,11296
-541,13553,4700,-11024,0,12692
-68,12457,5509,-12320,-380,13952
152,11098,5713,-13238,-1248,15174
782,9496,5789,-13791,-2725,16247
2226,7888,6232,-13950,-4356,17044
4072,6579,6960,-13759,-4928,17568
5402,5682,7555,-13251,-3878,17663
6023,5140,8036,-12579,-2017,17226
6291,4722,8546,-11865,-515,16342
6496,4389,9108,-11083,116,15117
6746,4197,9633,-10212,-23,13735
7149,4129,10140,-9343,-662,12320
7726,4160,10663,-8551,-1392,10969
8347,4226,11176,-7874,-1797,9728
8815,4255,11624,-7304,-1671,8596
9039,4262,11969,-6790,-1164,7559
9106,4288,12233,-6284,-617,6608
9167,4296,12489,-5780,-267,5734
9270,4277,12746,-5260,-109,4922
9359,4266,12951,-4718,-13,4157
9405,4251,13104,-4179,78,3426
9420,4235,13235,-3645,154,2734
9407,4200,13333,-3107,195,2083
9384,4154,13392,-2549,158,1456
9370,4145,13402,-1968,1,827
9428,4188,13410,-1392,-261,181
9576,4222,13450,-858,-499,-486
9725,4214,13503,-347,-552,-1183
9782,4179,13486,179,-423,-1921
9792,4182,13374,740,-279,-2700
9873,4216,13293,1318,-267,-3532
10033,4188,13269,1901,-311,-4433
10195,4089,13232,2536,-288,-5411
10310,4093,13142,3269,-148,-6438
10352,4397,12981,4062,160,-7453
10304,4836,12779,4770,738,-8416
10149,5139,12571,5335,1632,-9295
9811,5301,12295,5836,2776,-10063
