accX,accY,accZ,gyroX,gyroY,gyroZ
20012,-13053,-418,3844,-15178,27459
19934,-13445,-537,4063,-14800,26938
19662,-13716,-650,4211,-13799,25926
19152,-13910,-844,4190,-12251,24416
18436,-14078,-1014,4011,-10622,22502
17674,-14256,-1154,3758,-9325,20452
16935,-14379,-1282,3508,-8356,18416
16210,-14461,-1369,3178,-7552,16340
15454,-14513,-1445,2750,-6751,14297
14700,-14581,-1501,2226,-5924,12336
13952,-14656,-1531,1690,-5121,10480
13205,-14709,-1524,1212,-4415,8731
12464,-14731,-1483,822,-3868,7111
11746,-14740,-1412,519,-3501,5677
11081,-14739,-1329,295,-3296,4463
10503,-14731,-1258,129,-3225,3475
10005,-14732,-1200,-5,-3255,2709
9579,-14747,-1158,-132,-3322,2138
9225,-14772,-1122,-266,-3355,1724
8944,-14808,-1078,-417,-3286,1423
8694,-14849,-1031,-574,-3075,1190
8442,-14882,-986,-722,-2735,1000
8191,-14904,-942,-856,-2334,859
7965,-14920,-895,-967,-1950,779
7773,-14936,-842,-1041,-1646,756
7628,-14945,-787,-1066,-1453,772
7537,-14963,-705,-1054,-1367,814
7464,-15000,-584,-1020,-1345,848
7527,-15069,-450,-898,-1349,737
7856,-15173,-273,-597,-1432,421
8305,-15277,-133,-30,-1595,-230
8917,-15392,-167,771,-2023,-1438
10233,-15534,-193,1625,-3135,-3194
12362,-15729,-115,2456,-4665,-5518
14402,-16017,-96,3200,-5849,-8243
16239,-16337,-257,3740,-6499,-10695
17892,-16569,-562,3925,-6874,-12902
19379,-16633,-919,3664,-6920,-14889
20718,-16570,-1325,2960,-6441,-16677
21923,-16397,-1736,1973,-5504,-18286
22797,-16116,-2137,917,-4386,-19734
23134,-15757,-2560,-63,-3244,-21037
23110,-15348,-3020,-942,-2072,-22210
22601,-14903,-3527,-1697,-887,-23266
21737,-14377,-3979,-2311,115,-24216
20736,-13738,-4289,-2785,822,-25071
19494,-12997,-4468,-3053,1344,-25841
17952,-12226,-4550,-3026,1686,-26533
16110,-11403,-4537,-2663,1761,-27157
14452,-10662,-4524,-2336,1829,-27718
12053,-9817,-4363,-1494,1200,-28223
9290,-9132,-4126,-621,422,-28677
